:START_ID,:END_ID,:TYPE
pa1,pn1,hasAuthor
pa1,pn2,hasAuthor
pa1,pn4,hasAuthor
pa1,pn3,hasAuthor
pa1,pn1,hasAuthor
pa1,pn2,hasAuthor
pa1,pn3,hasAuthor
pa1,pn4,hasAuthor
pa3,pn1,hasAuthor
pa3,pn2,hasAuthor
pa3,pn4,hasAuthor
pa3,pn3,hasAuthor
pa4,pn1,hasAuthor
pa4,pn2,hasAuthor
pa4,pn3,hasAuthor
pa4,pn4,hasAuthor
pa6,pn4,hasAuthor
pa6,pn1,hasAuthor
pa6,pn2,hasAuthor
pa6,pn3,hasAuthor
pa7,pn1,hasAuthor
pa7,pn2,hasAuthor
pa7,pn3,hasAuthor
pa7,pn4,hasAuthor
pa7,pn1,hasAuthor
pa7,pn2,hasAuthor
pa7,pn4,hasAuthor
pa7,pn3,hasAuthor
pa7,pn1,hasAuthor
pa7,pn2,hasAuthor
pa7,pn4,hasAuthor
pa7,pn3,hasAuthor
pa7,pn1,hasAuthor
pa7,pn2,hasAuthor
pa7,pn3,hasAuthor
pa7,pn4,hasAuthor
pa8,pn4,hasAuthor
pa8,pn1,hasAuthor
pa8,pn3,hasAuthor
pa8,pn2,hasAuthor
pa8,pn4,hasAuthor
pa9,pn1,hasAuthor
pa9,pn2,hasAuthor
pa9,pn3,hasAuthor
pa9,pn4,hasAuthor
pa9,pn1,hasAuthor
pa9,pn2,hasAuthor
pa9,pn3,hasAuthor
pa9,pn4,hasAuthor
pa9,pn1,hasAuthor
pa9,pn2,hasAuthor
pa9,pn4,hasAuthor
pa9,pn3,hasAuthor
pa9,pn2,hasAuthor
pa9,pn1,hasAuthor
pa9,pn3,hasAuthor
pa9,pn4,hasAuthor
pa11,pn3,hasAuthor
pa11,pn1,hasAuthor
pa11,pn2,hasAuthor
pa11,pn4,hasAuthor
pa9,pn2,hasAuthor
pa9,pn1,hasAuthor
pa9,pn3,hasAuthor
pa9,pn4,hasAuthor
pa9,pn1,hasAuthor
pa9,pn2,hasAuthor
pa9,pn4,hasAuthor
pa9,pn3,hasAuthor
pa12,pn1,hasAuthor
pa12,pn2,hasAuthor
pa12,pn4,hasAuthor
pa12,pn3,hasAuthor
pa12,pn1,hasAuthor
pa12,pn2,hasAuthor
pa12,pn4,hasAuthor
pa12,pn3,hasAuthor
pa12,pn2,hasAuthor
pa12,pn1,hasAuthor
pa12,pn3,hasAuthor
pa12,pn4,hasAuthor
pa12,pn1,hasAuthor
pa12,pn3,hasAuthor
pa12,pn2,hasAuthor
pa12,pn4,hasAuthor
pa12,pn1,hasAuthor
pa12,pn2,hasAuthor
pa12,pn3,hasAuthor
pa12,pn4,hasAuthor
pa12,pn1,hasAuthor
pa12,pn2,hasAuthor
pa12,pn4,hasAuthor
pa12,pn3,hasAuthor
pa13,pn1,hasAuthor
pa13,pn1,hasAuthor
pa13,pn2,hasAuthor
pa13,pn3,hasAuthor
pa13,pn4,hasAuthor
pa14,pn3,hasAuthor
pa14,pn1,hasAuthor
pa14,pn2,hasAuthor
pa14,pn4,hasAuthor
pa13,pn1,hasAuthor
pa13,pn2,hasAuthor
pa13,pn3,hasAuthor
pa13,pn4,hasAuthor
pa13,pn1,hasAuthor
pa13,pn1,hasAuthor
pa13,pn2,hasAuthor
pa13,pn3,hasAuthor
pa13,pn4,hasAuthor
pa15,pn1,hasAuthor
pa15,pn3,hasAuthor
pa15,pn4,hasAuthor
pa15,pn2,hasAuthor
pa15,pn1,hasAuthor
pa15,pn2,hasAuthor
pa15,pn4,hasAuthor
pa15,pn3,hasAuthor
pa15,pn1,hasAuthor
pa15,pn2,hasAuthor
pa15,pn4,hasAuthor
pa15,pn3,hasAuthor
pa17,pn1,hasAuthor
pa17,pn2,hasAuthor
pa17,pn3,hasAuthor
pa17,pn4,hasAuthor
pa17,pn3,hasAuthor
pa17,pn1,hasAuthor
pa17,pn2,hasAuthor
pa17,pn4,hasAuthor
pa17,pn3,hasAuthor
pa17,pn1,hasAuthor
pa17,pn2,hasAuthor
pa17,pn4,hasAuthor
pa17,pn3,hasAuthor
pa17,pn1,hasAuthor
pa17,pn2,hasAuthor
pa17,pn4,hasAuthor
pa17,pn1,hasAuthor
pa17,pn2,hasAuthor
pa17,pn4,hasAuthor
pa17,pn3,hasAuthor
pa17,pn3,hasAuthor
pa17,pn1,hasAuthor
pa17,pn2,hasAuthor
pa17,pn4,hasAuthor
pa17,pn2,hasAuthor
pa17,pn1,hasAuthor
pa17,pn3,hasAuthor
pa17,pn4,hasAuthor
pa17,pn2,hasAuthor
pa17,pn2,hasAuthor
pa17,pn3,hasAuthor
pa17,pn1,hasAuthor
pa17,pn4,hasAuthor
pa17,pn3,hasAuthor
pa17,pn1,hasAuthor
pa17,pn2,hasAuthor
pa17,pn4,hasAuthor
pa17,pn3,hasAuthor
pa17,pn2,hasAuthor
pa17,pn1,hasAuthor
pa17,pn4,hasAuthor
pa17,pn3,hasAuthor
pa17,pn1,hasAuthor
