:START_ID,:END_ID,:TYPE
s1,j1,inVenue
s1,j1,inVenue
s1,j1,inVenue
s1,j1,inVenue
s1,j1,inVenue
s2,c3,inVenue
s2,c3,inVenue
s3,c3,inVenue
s4,c3,inVenue
s2,c3,inVenue
s5,c3,inVenue
s6,j1,inVenue
s6,j1,inVenue
s6,j1,inVenue
s6,j1,inVenue
s1,j1,inVenue
s6,j1,inVenue
s8,c5,inVenue
s8,c5,inVenue
s11,c5,inVenue
s9,c5,inVenue
s8,c5,inVenue
s12,c5,inVenue
s12,c5,inVenue
s13,j5,inVenue
s13,j5,inVenue
s13,j5,inVenue
s13,j5,inVenue
s13,j5,inVenue
s13,j5,inVenue
s14,j5,inVenue
s15,c6,inVenue
s15,c6,inVenue
s15,c6,inVenue
s15,c6,inVenue
s15,c6,inVenue
s15,c6,inVenue
s15,c6,inVenue
s16,c7,inVenue
s17,c7,inVenue
s17,c7,inVenue
s17,c8,inVenue
s18,c7,inVenue
s17,c7,inVenue
s19,j1,inVenue
s1,j1,inVenue
s20,j1,inVenue
s20,j1,inVenue
s21,j1,inVenue
s21,j1,inVenue
s21,j1,inVenue
s21,j1,inVenue
s21,j1,inVenue
s21,j1,inVenue
s21,j1,inVenue
s21,j1,inVenue
s21,j1,inVenue
s21,j1,inVenue
s21,j1,inVenue
s1,j1,inVenue
s1,j1,inVenue
s21,j1,inVenue
s21,j1,inVenue
pa17,j1,inVenue
s22,c9,inVenue
s24,c10,inVenue
