:START_ID,:END_ID,:TYPE
e1,pa1,mentions
e1,d1,mentions
e1,d2,mentions
e1,d3,mentions
e1,me1,mentions
e1,me2,mentions
e1,me3,mentions
e1,me4,mentions
e1,tk1,mentions
e1,mt1,mentions
e1,mt2,mentions
e1,mt3,mentions
e2,d1,mentions
e2,d2,mentions
e2,tk1,mentions
e3,tk1,mentions
e3,me5,mentions
e4,tk1,mentions
e6,d1,mentions
e6,d2,mentions
e6,me5,mentions
e6,mt4,mentions
e6,tk1,mentions
e7,tk2,mentions
e7,me6,mentions
e8,tk2,mentions
e11,pa1,mentions
e11,j1,mentions
e11,tk1,mentions
e12,j1,mentions
e12,pa2,mentions
e14,pa1,mentions
e14,j2,mentions
e14,tk1,mentions
e14,me7,mentions
e14,me8,mentions
e14,me9,mentions
e17,j1,mentions
e17,pa1,mentions
e19,j1,mentions
e19,pa1,mentions
e19,me7,mentions
e22,tk3,mentions
e22,d4,mentions
e22,me10,mentions
e22,mt5,mentions
e23,tk4,mentions
e23,me11,mentions
e23,mt6,mentions
e24,tk5,mentions
e24,me12,mentions
e24,mt7,mentions
e25,me11,mentions
e25,mt8,mentions
e26,d5,mentions
e26,d6,mentions
e26,me1,mentions
e26,me13,mentions
e26,mt9,mentions
e27,d7,mentions
e27,d8,mentions
e27,me1,mentions
e27,mt10,mentions
e28,d9,mentions
e28,d10,mentions
e29,d11,mentions
e30,d12,mentions
e31,d2,mentions
e31,d13,mentions
e31,tk6,mentions
e32,me1,mentions
e33,me1,mentions
e35,d14,mentions
e35,me1,mentions
e35,me14,mentions
e35,mt11,mentions
e36,c1,mentions
e36,c2,mentions
e36,j3,mentions
e36,j4,mentions
e36,tk7,mentions
e38,c3,mentions
e38,j3,mentions
e38,me15,mentions
e38,d15,mentions
e39,c3,mentions
e39,d16,mentions
e39,me1,mentions
e39,tk8,mentions
e40,c3,mentions
e40,j1,mentions
e40,me1,mentions
e40,d17,mentions
e42,me16,mentions
e42,d18,mentions
e43,me1,mentions
e44,c3,mentions
e44,j1,mentions
e45,c1,mentions
e45,j3,mentions
e46,c3,mentions
e46,j1,mentions
e46,me1,mentions
e47,me1,mentions
e47,tk9,mentions
e48,me1,mentions
e49,me1,mentions
e50,c3,mentions
e50,j1,mentions
e51,d19,mentions
e51,me17,mentions
e52,d19,mentions
e52,me17,mentions
e53,c3,mentions
e53,me1,mentions
e54,tk10,mentions
e54,tk11,mentions
e54,tk12,mentions
e55,j1,mentions
e55,c4,mentions
e57,tk13,mentions
e58,j1,mentions
e58,pa7,mentions
e63,d16,mentions
e66,tk14,mentions
e66,tk15,mentions
e66,tk16,mentions
e66,d20,mentions
e66,d21,mentions
e67,d22,mentions
e69,tk17,mentions
e69,tk18,mentions
e69,tk19,mentions
e69,tk20,mentions
e69,d23,mentions
e70,d24,mentions
e70,me18,mentions
e70,tk21,mentions
e71,d24,mentions
e71,me19,mentions
e71,tk21,mentions
e72,d22,mentions
e72,me20,mentions
e72,tk22,mentions
e73,d22,mentions
e73,me21,mentions
e74,d22,mentions
e74,tk23,mentions
e75,d25,mentions
e75,tk24,mentions
e76,pa8,mentions
e76,d16,mentions
